symbol	factor	F1_Liver	F2	F3_Exocrine	F4_CellCycle	F5_ActivatedStroma	F6_BasalLike	F7_Immune	F8_Classical	F9_Lung	F10	F11_Muscle	F12_Endocrine	F13_NormalStroma	F14
MYH1	11	0	0	0	0	0	0	0	0	0	0	3.4002	0	0	0
MYH10	13	0.2995	0.2823	0.1238	0.4256	0.7173	0.1259	0.0629	0	0.5925	0.4359	0.3512	0.4222	0.7442	0
MYH11	13	0	1.0069	0.0845	0	1.5839	0	1.3836	0.8723	1.1384	1.1768	0.3656	1.0487	4.6339	0
MYH13	11	0.176	0.2259	0.0113	0.0538	0	0.0254	0.076	0.3872	0.1728	0.1319	0.5865	0.0389	0.0575	0.0654
MYH14	2	0.5659	1.9864	0.5072	0	0.0287	0.4304	0.628	0.8083	0.4947	0.9786	0.489	0.503	0.1636	1.5848
MYH15	14	0.0066	0.2435	0	0.2305	0.003	0.0373	0.0558	0	0.2609	0.1631	0.0717	0.0535	0	0.2923
MYH2	11	0.1485	0	0	0	0	0	0	0.1432	0.1443	0	4.7568	0	0	0
MYH3	11	0.059	0	0.6438	0.0417	0	0.1703	1.0964	0.1848	0.1112	0.9376	2.9597	0.233	0.6168	0.022
MYH4	4	0.0502	0.0812	0.0261	0.1188	0	0	0.0506	0.1019	0.0206	0.0777	0.0484	0	0.0102	0
MYH6	11	0.1747	0.2947	0.3368	0.1193	0	0.2095	0.0099	0.1216	0	0.3984	1.6443	0.0566	0	0.0474
MYH7	11	0	0	1.459	0	0	0	0	0	0	0	4.875	0	0	0
MYH7B	11	0.0802	0.0204	0.1501	0.1478	0	0.1072	0.1298	0.1458	0.1633	0.1885	0.7988	0.1801	0.0086	0.2019
MYH8	11	0.0577	0.2944	0	0	0	0	0.013	0.0625	0	0.0915	1.0853	0.0457	0	0
MYH9	5	0.5457	1.5143	0.5385	0.8569	1.5886	0.781	1.0801	1.0449	1.0771	0.6007	0.7455	0.883	0.9937	0.9257
MYL1	11	0	0	0	0	0	0	0	0	0	0	3.9666	0	0	0
MYL2	11	0.0298	0.0194	0	0.1049	0	0.0285	0	0.0717	0	0.0354	4.6296	0	0	0.1095
MYL3	11	0.1688	0.5351	0.0961	0.1627	0.2703	0.1343	0.1112	0.0965	0.1874	0.0741	2.2992	0.3198	0.1608	0.5327
MYL4	14	0.3063	0.4477	0.6768	0.2855	0.1144	0.2796	0.2793	0.2788	0.1992	0.6464	0.6616	0	0.3963	0.8664
MYL5	13	0.571	0.4606	0.6178	0.8508	0.3451	0.5415	0.6082	0.7814	0.3801	0.2541	0.5535	0.5972	1.1117	0.9526
MYL6	4	1.3369	2.0063	1.2975	2.5556	2.0425	1.7621	1.5255	1.9954	1.9889	1.1546	1.5704	1.8024	2.1094	1.2382
MYL6B	11	0.6789	1.2158	0.7503	1.2589	1.0443	1.137	1.0553	0.5831	0.8387	1.4722	3.1599	1.695	1.2967	1.9159
MYL7	14	0.226	0.5338	0.1428	0.068	0.0573	0.4643	0.1821	0.3188	0.1857	0.5377	0.2783	0.2702	0.2686	1.035
MYL9	13	0	1.0211	0.1024	0.3326	1.845	0.2047	0.4917	0.8888	0.7361	0.0346	0.644	0.3671	2.8236	0
MYLC2PL	11	0.1266	0.1414	0.0159	0.1585	0.4143	0.2122	0.0468	0.1925	0	0.1331	0.5085	0.4814	0	0
MYLIP	7	0.3087	0.6586	0.9838	0.5628	0.2679	0.4919	1.2781	0.5141	1.1356	0.5843	0.8055	0.53	1.0382	0.0558
MYLK	13	1.1278	1.0726	0.6785	0.2858	2.3378	0.2472	1.6624	1.0014	1.5052	0.7127	0.5721	1.1364	3.5711	0.1428
MYLK2	3	0.1757	0.3724	2.2073	0.2094	0.0363	0.078	0.4404	0.0014	0.2117	0.6587	2.0542	0.0026	0	0.6297
MYLK3	11	0.0571	0.0591	0.0213	0.082	0	0.0563	0	0.0971	0.0724	0.0597	0.3904	0.0178	0.034	0.0049
MYLPF	11	0.1589	0.1005	0.0469	0.1461	0	0.0319	0	0.0892	0	0.0656	3.6531	0	0	0.1898
MYNN	4	0.5217	0	0.9342	1.1603	0.2761	1.0707	0.7517	0.3841	0.517	0	1.0554	0.253	0.7765	0.6939
MYO10	14	0.3966	0.4174	0.6135	0.7246	0.508	0.4275	0.1178	0.6865	0.6603	0.8076	0.3849	0.474	0.3599	0.8604
MYO15A	10	0.122	0	0.272	0.1621	0.0485	0.2705	0.227	0.1765	0.2276	0.4004	0.1144	0.2485	0.238	0
MYO15B	8	0.337	0.1125	0.2882	0.0751	0	0.4999	0.9942	1.2703	0.5907	0.7916	0.1254	0.3341	0.3197	0
MYO16	11	0.1985	0.0564	0.0078	0.134	0	0.0705	0.1062	0.0266	0.1328	0.1269	0.4314	0.1224	0.1376	0.0729
MYO18A	11	0.9778	0.4312	0.5714	0.4562	0.3609	0.8644	0.9016	0.9749	0.4385	1.009	1.4612	0.7516	0.3687	0.3972
MYO18B	11	0.083	0.2773	0.0197	0	0	0.0689	0	0.2659	0	0.4837	2.0973	0.1167	0	0.4077
MYO19	4	0.6761	0.6468	1.0888	1.6536	0.7105	1.3943	1.0682	0.9442	0.788	1.4511	0.8057	0.4977	0.5026	0.7383
MYO1A	8	0.097	0.3022	0.143	0.0525	0.0665	0.2059	0.5067	4.2758	0.208	0.8062	0.269	0.5358	0.5416	0.7264
MYO1B	1	0.962	0.3333	0.5974	0.5916	0.3567	0.4477	0.1419	0.0961	0.6092	0.4182	0.3374	0.6382	0.5397	0.0478
MYO1C	2	0.7721	1.9944	0.9964	0.7654	0.6459	0.8882	1.1191	1.0163	1.1069	1.5346	0.798	0.9165	0.8421	1.2388
MYO1D	8	0.3539	0.448	0.4862	0.3542	0.784	0.7516	0.2698	0.9864	0.3763	0.7901	0.2061	0.6722	0.8446	0
MYO1E	8	0.5486	0.3114	0.3111	0.6018	1.1596	0.9218	0.3654	1.1606	0.3154	0.5139	0.5732	0.571	0.7101	0.5379
MYO1F	7	0.686	1.0514	0.2629	0.0778	0.8984	0.0883	1.4564	0.0698	1.1377	0.9825	0.2336	0.2391	0.0072	0.0745
MYO1G	7	0.3779	0.8894	0.3613	0.2413	0.3599	0.2575	1.2425	0.2079	0.7144	0.4749	0.2746	0.0541	0.1197	0.3357
MYO1H	14	0.0905	0.0875	0.0745	0.126	0.112	0.0769	0.0896	0.1408	0.1121	0.1002	0.1092	0.0694	0.0197	0.2452
MYO3A	2	0.2013	0.5816	0.0133	0.0028	0	0	0.1189	0.1634	0.1487	0.0847	0.1044	0.1334	0	0
MYO3B	3	0.0767	0.0789	0.1992	0.1468	0.0639	0.1581	0.0637	0.0362	0.0037	0.1289	0.0561	0.0548	0.0999	0.0194
MYO5A	10	0.2892	0.2801	0.3116	0.7091	0.9651	0.5052	0.796	0	0.3089	1.0514	0.2514	0.2968	0.6558	0
MYO5B	8	1.029	0.4013	1.0589	0.5865	0.6142	1.7874	0.4813	2.6066	0.9404	0	0.0984	1.2303	0.0723	0.7095
MYO5C	8	0.1914	0	2.0713	0.8129	0.6544	1.8956	0.6173	2.2977	1.0725	0.2399	0.4598	0.7581	1.0867	0
MYO6	8	0.924	0.3513	1.1887	1.0055	0.6733	1.5221	0.6365	1.8457	0.9911	0	0.2992	1.2565	0.7987	0.0853
MYO7A	1	0.7548	0.3964	0.2601	0.0848	0.3002	0.2098	0.5964	0.4171	0.3455	0.5919	0.4355	0.2103	0.1006	0.5807
MYO7B	8	0.2733	0.5938	0	0.139	0	0	0.3111	1.4425	0.1094	0.0016	0.2896	0.1952	0	0.2219
MYO9A	10	0.5744	0.4526	0.5771	1.0516	1.0117	0.9442	1.2183	0.5458	1.1209	1.662	0.8775	0.746	1.4552	0.2745
MYO9B	10	0.3855	1.1253	0.2452	0.3797	0.7455	0.4825	0.9142	0.295	0.4823	1.2575	0.2967	0.1903	0.29	0.3566
MYOC	13	0	0	0.2758	0	0	0	0.1898	0	0.5828	0	1.4596	0	2.8176	0.0194
MYOCD	14	0.097	0.1195	0.0356	0.1808	0.0496	0.1619	0.0967	0.0496	0.0506	0.24	0.0444	0.0257	0.3019	0.3117
MYOD1	2	0.5438	2.3966	0.2978	0.0268	0.0193	0.2037	0.1855	0.5223	0.1612	0.7102	0.5295	0.5206	0.3368	0.8858
MYOF	5	0.1816	0.8394	0.2529	1.3726	1.7876	1.7113	0.1953	0.7569	0.7151	0.7946	0.5061	0.5998	1.0389	0.7584
MYOG	14	0.3395	0.6715	0.0507	0	0.1505	0.2236	0.2213	0.4193	0.2155	0.6096	1.352	0.397	0	1.4926
MYOM1	11	1.5357	0.0305	0.8147	0	0	0.2583	0.2231	0.8756	0.0779	1.2555	1.5957	0.8614	0.6112	0.063
MYOM2	11	0.9088	0.1261	0.9045	0.4203	0	0.4786	0.321	0.1222	0.8429	0.0337	2.872	0.772	0.8919	0.1438
MYOM3	11	0	0	0.028	0.0948	0.0581	0.1405	0	0.4875	0	0.0293	1.9595	0.0983	0	0
MYOT	11	0	0	0.4143	0	0	0	0	0	0	0	3.4575	0.4679	1.0984	0
MYOZ1	11	0.0168	0.1426	0	0.0941	0.0047	0.0117	0.1042	0.2238	0.1805	0	3.1855	0.2727	0.2669	0.2228
MYOZ2	11	0.0744	0	0	0	0	0	0.015	0.0049	0	0.1903	2.8729	0.0465	0.2127	0.0218
MYOZ3	11	0.106	0.4417	0.1027	0	0.4275	0.1977	0.3088	0.4331	0.2376	0.8523	1.1634	0.973	0.3789	0.7135
MYPN	11	0.0579	0.1633	0	0.1332	0	0.1927	0	0.1866	0	0.0337	1.5462	0.0502	0	0.0476
MYRIP	13	1.759	0	1.616	0.1534	0	0	1.1821	0	0.0899	0	0.4969	0.358	1.7882	0.1644
MYSM1	4	0.2009	0	0.6054	0.8223	0.3366	0.499	0.5512	0.1738	0.1869	0	0.18	0.2214	0.4604	0
MYST1	11	0.4841	0.8769	0.6588	0.5819	0.4179	0.599	0.7448	0.5867	0.7001	0.2583	0.9054	0.6996	0.6255	0.5991
MYST2	14	0.1788	0.3772	0.2103	0.566	0.413	0.423	0.4213	0.3746	0.4656	0.298	0.6577	0.6149	0.5334	0.8963
MYST3	10	0.4507	0.8879	0.4455	0.2619	0.1357	0.4974	0.5485	0.3505	0.5329	1.1662	0.3188	0.2715	0.6095	0.489
MYST4	10	0.2093	0.392	0.4041	0.3561	0.0901	0.2724	0.2464	0.2744	0.257	0.879	0.1658	0.4298	0.569	0
MYT1	12	0.3258	0.0703	0.2075	0.2007	0.1716	0.237	0.4162	0.1137	0.2446	0.1768	0.2954	0.9261	0.3368	0.8989
MYT1L	12	0.1078	0.1539	0.0469	0.0783	0.0471	0.0593	0.0846	0.09	0.0817	0.2293	0.2158	0.4886	0.1497	0.2145
MZF1	10	0.5122	1.0568	0.6963	0.3708	0.0914	0.6035	0.8266	0.7394	0.8028	1.2795	0.5647	0.8582	0.2984	0.4897
Magmas	14	0.7982	1.1355	0.8156	1.1537	0.0969	0.9419	0.518	0.7549	0.625	0.9548	1.1179	0.5518	0.326	1.2234
N-PAC	2	0.2749	0.6453	0.1769	0.354	0.1763	0.2164	0.2536	0.3913	0.2878	0.3832	0.3507	0.2854	0.1477	0.4606
N4BP1	14	0.3098	0.8398	0.119	0.3764	0.4718	0.5101	0.3938	0.7094	0.5797	0.3529	0.4787	0.593	0.2579	0.9322
N4BP2	10	0.9129	0.6782	1.0151	0.622	0.319	0.5378	0.7117	0.1743	0.4248	1.7461	0.1547	0.3298	0.6093	0
N4BP2L1	7	1.2386	0	1.1985	0.2934	0.2656	0.6364	1.5099	0.5079	0.9917	0	0.5055	0.5035	1.0689	0.0743
N4BP2L2	10	0.92	0.4527	1.1094	0.8276	0.4739	1.0391	1.432	0.7343	1.1013	1.5366	1.3229	0.9815	0.906	0.9775
N4BP3	10	0.1659	0.5612	0.1117	0.1875	0.1859	0.4302	0.22	0.3916	0.4586	0.9077	0.3803	0.0158	0.2698	0.4573
N6AMT1	4	0.6047	0.4899	0.7027	1.1862	0.5863	0.7407	0.4091	0.4377	0.597	0.4794	0.753	0.4087	0.7333	1.0908
N6AMT2	13	0.9157	0.7996	0.5504	0.9862	0.5111	0.5861	0.4251	0.3826	0.7334	0.4934	0.7906	0.6637	1.0772	0.7759
NAAA	7	0.8597	0.7719	0.4297	0.9602	0.8835	0.3104	1.1351	0.4459	0.8908	0.1844	0.4297	0.6685	0.6298	0.4422
NAALAD2	12	0.0501	0.0377	0.1123	0.1758	0.1566	0.0349	0.1504	0.0706	0.0156	0.1469	0.0774	0.2238	0.1989	0
NAALADL1	13	0.1149	0.1876	0.0383	0.171	0.3752	0	0.351	0.0935	0.3185	0.0237	0.1956	0.1303	0.4118	0
NAB1	6	0.7258	0.401	0.358	1.0398	0.7602	1.3878	0.6809	0.9356	0.6345	0.8573	0.48	0.5789	1.0453	0.3383
NAB2	14	0.5132	1.0028	0.5079	0.2831	0.4446	0.4959	0.4193	0.4507	0.5191	0.8201	0.5552	0.3633	0.5177	1.5172
NACA	14	1.0851	1.5371	1.5109	1.2789	0.8655	1.3906	1.4938	1.0595	1.1462	1.3763	1.2801	1.0604	1.3913	2.33
NACA2	14	1.4326	1.3822	1.7693	1.9777	1.4874	1.8921	1.9522	1.3465	1.5125	1.7144	1.7284	1.5268	1.8366	2.2155
NACAD	13	0	0.2693	0	0.2289	0.6548	0.2483	0.1696	0.0881	0.373	0.2886	0.4497	0.9945	1.1894	0.4239
NACAP1	3	0.6946	0.0357	1.5483	1.3533	0.7017	1.4586	1.1983	0.5967	0.4547	0.8011	0.9099	0.5797	1.2081	0.9782
NACC1	10	0.7589	0.649	0.6226	0.8874	0.6345	0.9473	0.8224	0.7014	0.5739	1.5388	0.6219	0.5902	0.4132	1.3136
NACC2	11	0.781	0.6333	0.4818	1.0113	0.8197	0.9032	0.5966	0.7374	0.9778	0.8029	1.0843	0.5661	0.8108	0.5811
NADK	1	0.9274	0.8638	0.4248	0.7185	0.4449	0.3738	0.8487	0.8076	0.8261	0.5588	0.5449	0.378	0.2617	0.5983
NADSYN1	7	0.5905	0.3619	0.377	0.7029	0.4466	0.8861	1.0834	0.9145	0.6653	0.9519	0.4136	0.5611	0.302	0.5574
NAE1	4	0.7185	0.9142	1.1115	1.9156	0.9237	1.0505	0.9628	0.8313	0.819	0.7264	1.1501	0.9653	0.8912	0.6399
NAF1	3	0.0694	0.2869	0.616	0.3175	0.0986	0.1408	0.0189	0.1075	0.1081	0.1224	0.3007	0	0.1291	0.3422
NAG	2	0.5778	1.0393	0.7201	0.8461	0.6484	0.5671	0.5495	0.458	0.7137	0.5665	0.9547	0.8503	0.9093	0.9537
NAG18	2	0.0307	0.1063	0.0552	0.0495	0.0029	0.0519	0.0307	0.0496	0.0212	0.0717	0.0378	0.0159	0.0075	0
NAG20	14	0.2631	0.3896	0.1571	0.0126	0.2298	0	0.0307	0.0912	0.2109	0	0.1511	0.0608	0	0.6116
NAGA	5	0.2823	0.0579	0.1979	0.8403	1.138	0.4287	0.3946	0.4132	0.4538	0	0.2213	0.3191	0.2977	0
NAGK	5	0.6551	1.4911	0.8142	1.1809	1.5251	0.8128	1.3125	0.8373	1.1224	0.2719	1.0204	0.9133	0.801	0.5868
NAGLU	2	1.0742	1.4595	1.0056	0.9381	1.0969	0.5022	0.6587	0.969	0.7911	0.9047	0.4704	1.2294	0.8038	0.9188
NAGPA	14	0.5333	1.0168	0.3876	0.656	0.6108	0.3046	0.6509	0.6569	0.6079	0.8317	0.5149	0.4104	0.2891	1.1867
NAGS	14	1.6245	0.533	0.2804	0.6323	0.703	0.8095	0.2703	0.5964	0.6351	1.1712	0.4874	0.3315	0.1182	1.8111
NAIF1	14	0.6438	0.7311	0.4176	0.4688	0.2743	0.5667	0.5465	0.5489	0.5344	0.8636	0.6401	0.49	0.4691	1.034
NAIP	7	0.435	0	0.5642	0.5146	0.5597	0.1714	1.0944	0.112	0.703	0.332	0.2016	0.2895	0.2267	0
NALCN	10	0.2146	0.3201	0.2774	0.0957	0.0758	0.2294	0.038	0.2105	0.0409	1.2968	0.0743	0.1051	0.2562	0.1313
NAMPT	1	1.9309	0.8668	1.026	1.2428	1.6316	0.8705	1.1094	0.2592	1.8516	0.2625	1.7837	0.5365	0.8901	1.1912
NANOG	12	0.2467	0	0.7549	0.4186	0.28	0.3964	0.4727	0.3284	0.2241	0.9084	0.2017	0.9654	0.3171	0.271
NANOGP1	14	0.2024	0.118	0.7136	0.1927	0.156	0.1209	0.2185	0.2694	0.1128	0.3216	0.1738	0.0232	0.1949	1.1523
NANOS1	12	0	0	0.7952	0.8907	0.1032	0.8152	0.0659	0	0.4061	0.0963	1.5049	2.125	0.6956	0.1008
NANOS3	14	0.1062	0.6493	0.5821	0.1764	0.7197	0.6005	0.0551	0.6818	0.2839	0.7401	0.4851	0.7601	0.476	0.7718
NANP	4	0.1633	0.0686	0.2513	0.7062	0.3335	0.1561	0.1032	0.0817	0.1632	0.1255	0.3256	0.1072	0.1755	0.0728
NANS	2	0.6722	1.8077	0.7045	1.378	0.8181	0.9108	0.6996	1.3024	1.1148	0.3157	1.0107	0.7706	0.7208	0.9409
NAP1L1	11	0.558	0.401	0.7669	1.0088	0.7012	0.8045	0.8907	0.1375	0.7442	0.967	1.0491	0.6909	0.9683	0.4318
NAP1L2	12	0.372	0.1571	0.7514	0.1947	0.0082	0	0.7289	0	0.3687	0	0.6806	1.7981	1.2931	0
NAP1L3	12	0	0	0.1707	0.2247	1.0893	0	0.4494	0	0	0	0.1742	1.4627	1.2061	0
NAP1L4	14	0.411	0.6307	0.3597	0.7467	0.567	0.8527	0.7375	0.5806	0.5154	0.3244	0.9782	0.6345	0.5136	1.0663
NAP1L5	13	0.5477	0.235	0.3636	0.4328	0.4275	0	0.3171	0.1206	0.2672	0.0739	0.5282	0.9997	1.1196	0.4537
NAP5	10	0.4603	0.3003	0.0098	0.1887	0	0.0697	0.2012	0.3932	0.8367	0.8988	0	0.3486	0.566	0
NAPA	2	0.3793	0.7961	0.2612	0.6022	0.4466	0.1815	0.2165	0.5664	0.424	0	0.7298	0.5882	0.2452	0.306
NAPB	4	0.1485	0.027	0.1439	0.4887	0.0986	0.2045	0.2783	0.0819	0.3307	0.0507	0.3851	0.3427	0.1529	0.1328
NAPEPLD	8	0.4134	0.3604	0.5246	0.7458	0.0927	0.8395	0.7261	1.0397	0.4502	0.1873	0.5058	0.4602	0.5172	0.3946
NAPG	4	0.8082	0.5739	0.7267	1.1336	0.8194	1.097	0.552	1.0431	0.6711	1.1117	0.7495	0.7842	0.7481	0.2158
NAPRT1	8	1.152	1.3365	0.7189	0.699	0.6925	1.6003	0.7808	2.0783	0.8915	0.8572	0.5924	0.813	0.6291	1.2733
NAPSA	9	0.1097	0.6232	0.2194	0.0766	0.3528	0	1.617	0.5674	2.9058	0.1043	0	0.2961	0.147	0.2504
NAPSB	7	0.4636	0.75	0.6401	0.0047	0.9973	0	2.5457	0.616	2.218	0	0	0.8307	0.1905	0.4016
NARF	14	0.9154	0.9445	0.6152	0.9367	0.6266	1.1901	1.3355	0.8731	0.946	1.2947	1.1595	0.6939	0.6607	1.4665
NARFL	2	0.6032	0.9838	0.3932	0.4373	0.2145	0.5278	0.6438	0.8138	0.4353	0.9742	0.5896	0.5562	0.2068	0.7939
NARG1	4	0.2882	0.1996	0.233	0.9515	0.4124	0.4765	0.2983	0.281	0.3017	0.236	0.7273	0.2684	0.3833	0.5001
NARG1L	10	0.4006	0.6614	0.943	0.512	0	0.4917	0.5356	0.4134	0.4253	1.024	0.4236	0.2446	0.4768	0.1651
NARG2	10	0.3544	0.3675	0.4305	0.5147	0.0898	0.4218	0.4605	0.1976	0.3238	0.5658	0.3279	0.2507	0.496	0.0963
NARS	4	1.2284	1.0895	1.1436	1.5588	0.9695	0.8465	0.9918	0.9852	1.1022	0.6395	1.3451	1.0899	1.1003	0.7892
NARS2	4	0.801	0.4966	0.9525	1.1908	0.363	0.6512	0.6435	0.426	0.6176	0.5058	1.0156	0.5628	0.6756	1.0106
NASP	4	0.4933	0.5373	1.177	1.6766	0.7043	1.1035	1.3913	0.5949	0.7535	1.1255	0.8143	0.831	0.9254	0.9972
NAT1	8	0.8033	0	0.7063	1.2559	0.5	0.7278	0.6958	1.2969	0.709	0	0.2021	0.2924	0.5237	0.1151
NAT10	14	0.5461	1.1213	0.4179	0.8716	0.7133	0.5958	0.562	0.6295	0.5228	0.9454	0.8353	0.559	0.6455	1.8203
NAT11	4	0.1923	0.2223	0.3353	0.7425	0.1336	0.433	0.4202	0.2405	0.1999	0.5186	0.3085	0.3491	0.1071	0.0617
NAT12	4	0.5438	0.443	0.3296	0.8867	0.348	0.5354	0.2886	0.3677	0.3464	0.1554	0.8732	0.4582	0.4082	0.196
NAT13	4	0.6965	0.5425	0.8439	1.6088	0.819	1.1888	0.6844	0.851	0.6579	0.5963	1.3155	0.538	0.7093	0.7557
NAT14	10	0.3799	1.3639	0.4205	0.9222	0.8152	0.656	0.3491	0.357	0.8304	1.3995	0.5542	1.3868	0.6306	1.2771
NAT15	8	0.2825	0.4247	0.3048	0.4407	0.3234	0.249	0.2751	0.5036	0.2864	0.0271	0.3397	0.3098	0.1679	0
NAT2	1	1.5505	0.0174	0	0.2045	0.0425	0	0.054	0.8214	0.0218	0	0.0732	0.1984	0.1204	0.5286
NAT5	4	0.8563	0.6377	1.3714	1.9869	0.9882	1.1149	0.7246	0.6622	0.8753	0.2846	1.5237	1.243	1.0091	1.0966
NAT6	10	0.2475	0.3203	0.2905	0.4572	0.2331	0.3707	0.3586	0.3965	0.3357	0.7346	0.3896	0.3524	0.5652	0.5563
NAT8	1	2.4464	0	0.019	0.2448	0.1762	0	0.1131	0.6415	0.182	0.0297	0.046	0.3029	0.1816	0.9443
NAT8B	14	1.3183	0.2643	0.193	0.1706	0.1175	0.0491	0.2905	0.7371	0.3543	0.2499	0.3169	0.2457	0.3835	1.384
NAT8L	10	0.064	0	0.7623	0.8568	0.1834	0	0.0646	0	0	1.2049	0.7373	1.1377	0.419	0.2473
NAT9	10	0.7821	1.1405	1.0333	0.9872	0.4392	1.0496	1.2547	0.8285	0.983	1.5889	0.9087	0.7223	0.6926	1.4789
NAV1	10	0.0967	0.8327	0.0912	0.2896	1.0213	0.4167	0.2159	0.2082	0.2801	1.1111	0.2655	0.721	0.7764	0.1971
NAV2	10	0.3965	0.4631	0.1953	0.1591	0.1675	0.2666	0.1085	0.2247	0.3266	0.7516	0.2813	0.2898	0.4405	0.5033
NAV3	5	0.026	0	0.0169	0.6222	1.1138	0	0.5143	0	0.4669	0	0.2125	0.6944	0.9214	0.1585
NBEA	12	0.019	0.3146	1.1204	0.652	0.413	0.529	0.673	0	0.6511	0.4122	0.6546	1.8576	1.21	0
NBEAL2	2	0.1876	0.8869	0.31	0.1252	0.0895	0.4001	0.5095	0.7597	0.4683	0.5953	0.2381	0.3342	0	0.6052
NBL1	10	0.0204	0.5812	0.0701	0.2584	1.2079	0.8573	0.366	1.2652	0.9063	1.499	0.671	0.8093	1.4688	0.9304
NBLA00301	12	0.709	0.1546	0.2949	0	0.5994	0	0	0	0	0.4063	0.0005	1.4494	0.9686	0
NBN	4	0.5746	0.1742	0.6922	1.2627	0.716	0.7182	0.7093	0.5163	0.787	0	0.6893	0.6472	0.662	0.5611
NBPF1	4	0.3535	0.0763	0.4556	0.6417	0.349	0.4085	0.5184	0.1443	0.3978	0.3261	0.3828	0.5209	0.4868	0.6192
NBPF10	10	0.9119	1.5171	0.92	0.5847	0.6161	0.8274	1.2177	0.5831	0.8472	2.5421	0.4762	0.8242	0.6596	0.8612
NBPF11	10	0.4302	0.4722	0.4405	0.3484	0.2651	0.4307	0.6205	0.0843	0.3051	1.1264	0.1206	0.2025	0.1462	0.4704
NBPF14	7	0.6459	0.5108	0.8965	0.8831	0.82	0.7216	1.2403	0.5833	0.9126	0.4846	0.6653	0.9389	0.4002	1.1019
NBPF15	7	1.2034	0.0574	1.754	1.7737	1.4953	1.4119	1.994	0.9732	1.2913	1.7314	1.0189	1.3547	1.1661	1.0112
NBPF20	10	0.6682	0.8194	0.8092	0.5001	0.6198	0.8012	0.9165	0.3585	0.4678	2.4003	0.2606	0.8244	0.5011	0.0924
NBPF22P	14	0.06	0.398	0.2141	0.0757	0.1502	0.0163	0.0419	0.3718	0.1897	0.0563	0.1278	0.1526	0.0112	0.7273
NBPF3	10	1.0458	1.1053	1.0905	0.8551	0.8321	0.9827	1.3209	0.6853	0.8883	2.2743	0.5769	1.1404	0.8599	1.0548
NBR1	13	1.3109	0.9412	1.0405	1.338	1.1158	1.3435	1.3457	1.47	1.2964	1.3405	1.4813	1.3775	1.5152	1.4664
NBR2	4	0.2173	0.2396	0.1019	0.3511	0.1177	0.249	0.2402	0.1564	0.1976	0.3139	0.2268	0.2231	0.0689	0.1259
NCALD	12	0.4075	0.4609	0.3488	0.1774	0.5835	0	0.2465	0.4591	0.647	0	0.3876	1.2831	1.061	0.5569
NCAM1	11	0.07	0.2432	0.0009	0.1277	0	0.0504	0.0878	0.0365	0.0763	0.1342	0.5019	0.2141	0.2182	0.1891
NCAM2	13	0.0425	0	0	0.1373	0.4573	0	0	0	0.5137	0.2288	0.0576	0.149	0.855	0
NCAN	2	0.321	0.7642	0.0849	0.0903	0.0567	0.099	0.2234	0.1652	0.2597	0.5693	0.2613	0.0283	0.0203	0.4533
NCAPD2	4	0.2809	1.339	0.4318	1.3828	0.5433	1.0955	0.8948	0.5064	0.4874	1.163	0.4961	0.4958	0.3147	0.8529
NCAPD3	4	0.4784	0.8831	0.8559	1.3377	0.3675	0.8637	0.652	0.514	0.3525	0.7606	0.6956	0.4497	0.4848	0.958
NCAPG	4	0.3656	0.7408	0.3449	2.2839	0.6831	1.7131	1.1831	0.6997	0.1812	1.5024	0.6096	0	0.0347	0.8991
NCAPG2	4	0.4274	0.197	0.3559	1.636	0.6149	0.8704	0.6281	0.4231	0.1978	0.9675	0.4609	0.297	0.4015	0.7118
NCAPH	4	0.2602	0.3639	0.4394	1.7942	0.5152	1.0387	0.6939	0.5081	0.1733	0.9917	0.5272	0	0	1.2001
NCAPH2	2	0.3294	1.1576	0.4365	0.6244	0.3385	0.6544	0.4511	0.5349	0.5183	0.7144	0.6714	0.4209	0.5239	1.0796
NCBP1	4	0.8017	0.3708	0.5945	1.5085	0.6688	0.9685	0.8307	0.5952	0.6708	0.836	1.1666	0.5703	0.6825	0.9798
NCBP2	4	0.7682	0.6159	0.6069	1.4076	0.9157	1.265	1.0441	0.7514	0.8754	1.3851	1.0147	0.7307	0.9118	1.3392
NCDN	4	0.1231	0.5888	0.1323	0.7187	0.4696	0.2376	0.3193	0.2533	0.3033	0.2314	0.3983	0.6474	0.4639	0.2873
NCF1	7	0.4712	1.1849	0.0595	0.0946	0.7087	0	2.0568	0.0569	0.969	0.4061	0.2191	0	0	0.0501
NCF2	5	1.1769	0.5993	0.5765	0.8748	3.1315	0.9657	1.8142	0.2269	2.6574	0.8653	0.8224	0.5072	0.1211	0.2819
NCF4	7	0.1522	0.2305	0.062	0.2263	1.0394	0	1.3624	0.151	0.841	0	0.2793	0.0164	0	0
NCK1	6	1.022	0.6411	0.844	1.3419	1.0365	1.4646	1.2751	0.7625	1.2605	0.0686	1.1294	0.7237	1.0433	0.6622
NCK2	2	0.3117	0.9125	0.2845	0.1848	0.1019	0.3252	0.2694	0.4386	0.2611	0.2485	0.5066	0.373	0.1663	0.6574
NCKAP1	4	0.6367	0.2221	0.9554	1.4971	0.937	1.2934	0.1849	0.9863	0.7952	0	1.1742	0.9411	1.3207	0.319
NCKAP1L	7	0.334	0.2361	0.1592	0.2909	0.9159	0	1.5296	0.0881	0.6818	0	0.2534	0	0	0
