Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
STEAP4	5.12E-62	1.30E-57	0.344956436	IFIT1+ISG15+
GSTK1	2.89E-60	7.33E-56	0.444007822	IFIT1+ISG15+
ACOT9	4.31E-60	1.09E-55	0.405722927	IFIT1+ISG15+
FPR2	6.63E-60	1.68E-55	0.297577354	IFIT1+ISG15+
XPO6	2.95E-59	7.50E-55	0.258481492	IFIT1+ISG15+
ADGRE2	5.11E-57	1.30E-52	0.357412673	IFIT1+ISG15+
SCAF11	2.89E-55	7.35E-51	0.310127636	IFIT1+ISG15+
ANKRD44	9.83E-54	2.49E-49	0.328591992	IFIT1+ISG15+
NDUFB6	1.92E-53	4.87E-49	0.502370959	IFIT1+ISG15+
ST8SIA4	2.20E-53	5.60E-49	0.435374591	IFIT1+ISG15+
CEACAM3	2.58E-52	6.56E-48	0.27765617	IFIT1+ISG15+
RAB8A	2.86E-52	7.26E-48	0.426294183	IFIT1+ISG15+
PAK1	1.12E-51	2.83E-47	0.359769421	IFIT1+ISG15+
TOP1	3.28E-51	8.32E-47	0.296813644	IFIT1+ISG15+
SETX	5.16E-51	1.31E-46	0.395251755	IFIT1+ISG15+
TET2	1.27E-50	3.22E-46	0.351901736	IFIT1+ISG15+
EGR3	4.31E-50	1.10E-45	0.377119507	IFIT1+ISG15+
PKN2	6.23E-50	1.58E-45	0.342778034	IFIT1+ISG15+
CYTH4	2.61E-49	6.63E-45	0.307065478	IFIT1+ISG15+
PLCG2	8.37E-49	2.13E-44	0.495493492	IFIT1+ISG15+
ERP44	1.90E-48	4.84E-44	0.477756744	IFIT1+ISG15+
SLK	4.07E-45	1.03E-40	0.446440987	IFIT1+ISG15+
PDCD4	4.93E-45	1.25E-40	0.361716087	IFIT1+ISG15+
IL1RN	3.20E-44	8.12E-40	0.293493187	IFIT1+ISG15+
SOCS3	3.51E-44	8.92E-40	0.461580328	IFIT1+ISG15+
RNF24	8.85E-44	2.25E-39	0.400636178	IFIT1+ISG15+
AKAP13	1.41E-43	3.57E-39	0.289179539	IFIT1+ISG15+
TLR4	2.22E-43	5.63E-39	0.298187299	IFIT1+ISG15+
IL1B	2.08E-42	5.28E-38	0.310261832	IFIT1+ISG15+
DOCK8	6.40E-42	1.62E-37	0.31888148	IFIT1+ISG15+
FAM126B	1.67E-40	4.23E-36	0.414170068	IFIT1+ISG15+
IQGAP2	2.84E-40	7.21E-36	0.303540456	IFIT1+ISG15+
PSTPIP2	1.16E-39	2.95E-35	0.319630066	IFIT1+ISG15+
ITPK1	6.83E-39	1.74E-34	0.450755616	IFIT1+ISG15+
SNX6	1.35E-38	3.42E-34	0.463527563	IFIT1+ISG15+
CYLD	1.82E-38	4.61E-34	0.359482192	IFIT1+ISG15+
ATP6V1G1	9.08E-38	2.30E-33	0.257631192	IFIT1+ISG15+
THEMIS2	1.43E-37	3.63E-33	0.263140605	IFIT1+ISG15+
OSM	5.03E-37	1.28E-32	0.257767337	IFIT1+ISG15+
CLEC4A	3.05E-36	7.75E-32	0.336288432	IFIT1+ISG15+
EGLN1	1.97E-35	5.01E-31	0.381944134	IFIT1+ISG15+
CD300A	5.33E-35	1.35E-30	0.259712254	IFIT1+ISG15+
AC012368-1	6.12E-35	1.55E-30	0.254532542	IFIT1+ISG15+
ADM	4.14E-32	1.05E-27	0.277318498	IFIT1+ISG15+
G0S2	1.98E-31	5.04E-27	0.354127837	IFIT1+ISG15+
AC016831-5	5.91E-30	1.50E-25	0.394715822	IFIT1+ISG15+
CARD8	2.80E-29	7.11E-25	0.269589374	IFIT1+ISG15+
FBXL5	5.57E-29	1.41E-24	0.303427242	IFIT1+ISG15+
ALPK1	7.17E-29	1.82E-24	0.347331785	IFIT1+ISG15+
NDUFB3	2.86E-28	7.27E-24	0.320668424	IFIT1+ISG15+
ARHGAP25	3.02E-28	7.67E-24	0.265323896	IFIT1+ISG15+
ARL5B	5.05E-27	1.28E-22	0.289815159	IFIT1+ISG15+
CASP8	2.84E-26	7.20E-22	0.269868225	IFIT1+ISG15+
B2M	3.16E-25	8.02E-21	0.419605225	IFIT1+ISG15+
07-Mar	3.37E-25	8.56E-21	0.307419957	IFIT1+ISG15+
LINC01506	5.75E-25	1.46E-20	0.281513963	IFIT1+ISG15+
LACTB	3.20E-24	8.13E-20	0.410091826	IFIT1+ISG15+
BAZ2A	1.72E-21	4.36E-17	0.314855115	IFIT1+ISG15+
N4BP2L2	6.90E-21	1.75E-16	0.314050894	IFIT1+ISG15+
ABI1	2.62E-18	6.65E-14	0.280584468	IFIT1+ISG15+
CCL4L2	6.56E-17	1.67E-12	0.502865158	IFIT1+ISG15+
SLC44A2	1.35E-16	3.43E-12	0.252022384	IFIT1+ISG15+
AC016831-1	8.60E-16	2.18E-11	0.326542451	IFIT1+ISG15+
CCPG1	9.87E-15	2.51E-10	0.290162502	IFIT1+ISG15+
HRH2	1.92E-14	4.87E-10	0.272780546	IFIT1+ISG15+
HSBP1	2.88E-12	7.31E-08	0.250187532	IFIT1+ISG15+
PPP1R3B	2.17E-11	5.52E-07	0.259156819	IFIT1+ISG15+
ANXA3	1.25E-09	3.17E-05	0.258728177	IFIT1+ISG15+
C15orf48	1.38E-05	0.351439547	0.252510358	IFIT1+ISG15+
MDM2	6.53E-05	1	0.345861657	IFIT1+ISG15+
CD177	2.225074E-308	2.225074E-308	2.271146722	MMP9+
SLCO4C1	2.225074E-308	2.225074E-308	1.893008643	MMP9+
CAMP	2.225074E-308	2.225074E-308	1.781832875	MMP9+
PGLYRP1	2.225074E-308	2.225074E-308	1.647872584	MMP9+
SYNE1	2.225074E-308	2.225074E-308	1.608035824	MMP9+
PCMT1	2.225074E-308	2.225074E-308	1.595916786	MMP9+
FCN1	2.225074E-308	2.225074E-308	1.583347051	MMP9+
ARAP2	2.225074E-308	2.225074E-308	1.57887613	MMP9+
01-Mar	2.225074E-308	2.225074E-308	1.523487357	MMP9+
RFLNB	2.225074E-308	2.225074E-308	1.516253418	MMP9+
ATM	2.225074E-308	2.225074E-308	1.511682482	MMP9+
PADI4	2.225074E-308	2.225074E-308	1.44757511	MMP9+
VCL	2.225074E-308	2.225074E-308	1.443599514	MMP9+
MMP9	2.225074E-308	2.225074E-308	1.433654509	MMP9+
ARG1	2.225074E-308	2.225074E-308	1.378558706	MMP9+
SLC37A3	2.225074E-308	2.225074E-308	1.37143231	MMP9+
ADAM19	2.225074E-308	2.225074E-308	1.354919128	MMP9+
APMAP	2.225074E-308	2.225074E-308	1.354198785	MMP9+
EMB	2.225074E-308	2.225074E-308	1.350602186	MMP9+
CARS2	2.225074E-308	2.225074E-308	1.337849069	MMP9+
PFKFB2	2.225074E-308	2.225074E-308	1.329899445	MMP9+
FAR1	2.225074E-308	2.225074E-308	1.310265991	MMP9+
TM6SF1	2.225074E-308	2.225074E-308	1.303573988	MMP9+
MFSD14B	2.225074E-308	2.225074E-308	1.302491634	MMP9+
F5	2.225074E-308	2.225074E-308	1.271951113	MMP9+
C1GALT1	2.225074E-308	2.225074E-308	1.26069167	MMP9+
RBP7	2.225074E-308	2.225074E-308	1.244950098	MMP9+
CCPG1	2.225074E-308	2.225074E-308	1.243092346	MMP9+
HIPK2	2.225074E-308	2.225074E-308	1.241347401	MMP9+
PTPRN2	2.225074E-308	2.225074E-308	1.239376573	MMP9+
JAK2	2.225074E-308	2.225074E-308	1.227972147	MMP9+
CA4	2.225074E-308	2.225074E-308	1.220345614	MMP9+
PPP2R5A	2.225074E-308	2.225074E-308	1.215103614	MMP9+
AC020656-1	2.225074E-308	2.225074E-308	1.213264723	MMP9+
ADD3	2.225074E-308	2.225074E-308	1.212064988	MMP9+
DGKD	2.225074E-308	2.225074E-308	1.207545263	MMP9+
ROPN1L	2.225074E-308	2.225074E-308	1.202133295	MMP9+
ZNF106	2.225074E-308	2.225074E-308	1.199480521	MMP9+
CLEC4D	2.225074E-308	2.225074E-308	1.197637789	MMP9+
TP53I11	2.225074E-308	2.225074E-308	1.19586625	MMP9+
PLBD1	2.225074E-308	2.225074E-308	1.177335003	MMP9+
LAMTOR5	2.225074E-308	2.225074E-308	1.159924859	MMP9+
KIF13A	2.225074E-308	2.225074E-308	1.151344328	MMP9+
PYGL	2.225074E-308	2.225074E-308	1.141256926	MMP9+
LINC00937	2.225074E-308	2.225074E-308	1.139509621	MMP9+
DPYD	2.225074E-308	2.225074E-308	1.125715406	MMP9+
OSCAR	2.225074E-308	2.225074E-308	1.122948303	MMP9+
GRK6	2.225074E-308	2.225074E-308	1.122007917	MMP9+
KIF1B	2.225074E-308	2.225074E-308	1.117287886	MMP9+
CR1	2.225074E-308	2.225074E-308	1.116126004	MMP9+
GPR27	2.225074E-308	2.225074E-308	1.11488309	MMP9+
RAB27A	2.225074E-308	2.225074E-308	1.113522289	MMP9+
GYG1	2.225074E-308	2.225074E-308	1.106184373	MMP9+
CHPT1	2.225074E-308	2.225074E-308	1.103382148	MMP9+
CSGALNACT2	2.225074E-308	2.225074E-308	1.102243553	MMP9+
TNPO3	2.225074E-308	2.225074E-308	1.090365458	MMP9+
SAP30	2.225074E-308	2.225074E-308	1.087011417	MMP9+
ACAP1	2.225074E-308	2.225074E-308	1.08087322	MMP9+
DAPK2	2.225074E-308	2.225074E-308	1.077667971	MMP9+
MSL3	2.225074E-308	2.225074E-308	1.075650808	MMP9+
APAF1	2.225074E-308	2.225074E-308	1.069073302	MMP9+
SPTLC2	2.225074E-308	2.225074E-308	1.064587305	MMP9+
MCTP2	2.225074E-308	2.225074E-308	1.063674462	MMP9+
ME2	2.225074E-308	2.225074E-308	1.061495816	MMP9+
CAT	2.225074E-308	2.225074E-308	1.058687965	MMP9+
SULT1A1	2.225074E-308	2.225074E-308	1.05454308	MMP9+
MFN2	2.225074E-308	2.225074E-308	1.052460529	MMP9+
CRISPLD2	2.225074E-308	2.225074E-308	1.050656749	MMP9+
KAT2B	2.225074E-308	2.225074E-308	1.048373348	MMP9+
NTNG2	2.225074E-308	2.225074E-308	1.047340282	MMP9+
STK38	2.225074E-308	2.225074E-308	1.040267099	MMP9+
SULT1B1	2.225074E-308	2.225074E-308	1.039798768	MMP9+
PXK	2.225074E-308	2.225074E-308	1.034881182	MMP9+
BST1	2.225074E-308	2.225074E-308	1.020416737	MMP9+
TMX4	2.225074E-308	2.225074E-308	1.016324533	MMP9+
PPP1R12B	2.225074E-308	2.225074E-308	1.013753887	MMP9+
C19orf38	2.225074E-308	2.225074E-308	1.01252225	MMP9+
MTMR6	2.225074E-308	2.225074E-308	1.010849401	MMP9+
NUP50	2.225074E-308	2.225074E-308	1.0100053	MMP9+
GPR160	2.225074E-308	2.225074E-308	1.009563475	MMP9+
MANSC1	2.225074E-308	2.225074E-308	1.004836215	MMP9+
GPAT3	2.225074E-308	2.225074E-308	0.997628075	MMP9+
MGAM	2.225074E-308	2.225074E-308	0.997519699	MMP9+
SOS2	2.225074E-308	2.225074E-308	0.989910323	MMP9+
CKAP4	2.225074E-308	2.225074E-308	0.977417146	MMP9+
QPCT	2.225074E-308	2.225074E-308	0.976747232	MMP9+
RSBN1	2.225074E-308	2.225074E-308	0.975555028	MMP9+
RGL4	2.225074E-308	2.225074E-308	0.974436351	MMP9+
ITGAM	2.225074E-308	2.225074E-308	0.971732701	MMP9+
CAPG	2.225074E-308	2.225074E-308	0.968972115	MMP9+
DHRS9	2.225074E-308	2.225074E-308	0.961305767	MMP9+
PGD	2.225074E-308	2.225074E-308	0.961015374	MMP9+
MYO5A	2.225074E-308	2.225074E-308	0.960209114	MMP9+
SLC40A1	2.225074E-308	2.225074E-308	0.958995631	MMP9+
RBL2	2.225074E-308	2.225074E-308	0.955811205	MMP9+
PDZD8	2.225074E-308	2.225074E-308	0.954028198	MMP9+
CYP4F3	2.225074E-308	2.225074E-308	0.95291782	MMP9+
KBTBD7	2.225074E-308	2.225074E-308	0.949256083	MMP9+
ZNF445	2.225074E-308	2.225074E-308	0.947187053	MMP9+
LBR	2.225074E-308	2.225074E-308	0.945939069	MMP9+
AC245128-3	2.225074E-308	2.225074E-308	0.945308211	MMP9+
RASA2	2.225074E-308	2.225074E-308	0.944815887	MMP9+
KDM7A	2.225074E-308	2.225074E-308	0.939739671	MMP9+
MAPK14	2.225074E-308	2.225074E-308	0.936402101	MMP9+
TMEM91	2.225074E-308	2.225074E-308	0.935178993	MMP9+
CNIH4	2.225074E-308	2.225074E-308	0.933775068	MMP9+
ALOX5	2.225074E-308	2.225074E-308	0.931080081	MMP9+
DOCK2	2.225074E-308	2.225074E-308	0.930720737	MMP9+
HEBP2	2.225074E-308	2.225074E-308	0.930400027	MMP9+
S100A12	2.225074E-308	2.225074E-308	0.930347454	MMP9+
ANXA3	2.225074E-308	2.225074E-308	0.930043574	MMP9+
NFE2	2.225074E-308	2.225074E-308	0.928813352	MMP9+
PDCD10	2.225074E-308	2.225074E-308	0.927359181	MMP9+
FRMD4B	2.225074E-308	2.225074E-308	0.925068344	MMP9+
NLRP12	2.225074E-308	2.225074E-308	0.921068363	MMP9+
STXBP5	2.225074E-308	2.225074E-308	0.919486377	MMP9+
AGFG1	2.225074E-308	2.225074E-308	0.919271418	MMP9+
DYSF	2.225074E-308	2.225074E-308	0.917674134	MMP9+
MSRA	2.225074E-308	2.225074E-308	0.914888356	MMP9+
LMTK2	2.225074E-308	2.225074E-308	0.91398802	MMP9+
CLEC12A	2.225074E-308	2.225074E-308	0.912433362	MMP9+
PSTPIP2	2.225074E-308	2.225074E-308	0.91031787	MMP9+
MAP3K3	2.225074E-308	2.225074E-308	0.909091206	MMP9+
CST7	2.225074E-308	2.225074E-308	0.907911628	MMP9+
ARID3A	2.225074E-308	2.225074E-308	0.906550155	MMP9+
MSRB2	2.225074E-308	2.225074E-308	0.905399402	MMP9+
NQO2	2.225074E-308	2.225074E-308	0.905122388	MMP9+
PLP2	2.225074E-308	2.225074E-308	0.903007379	MMP9+
LTB4R	2.225074E-308	2.225074E-308	0.900686672	MMP9+
SRPK1	2.225074E-308	2.225074E-308	0.899577331	MMP9+
EIF4E3	2.225074E-308	2.225074E-308	0.893816511	MMP9+
CLIP1	2.225074E-308	2.225074E-308	0.88997057	MMP9+
IGF1R	2.225074E-308	2.225074E-308	0.887249444	MMP9+
METTL9	2.225074E-308	2.225074E-308	0.88604092	MMP9+
IL17RA	2.225074E-308	2.225074E-308	0.88466761	MMP9+
NDUFB3	2.225074E-308	2.225074E-308	0.882178212	MMP9+
HSDL2	2.225074E-308	2.225074E-308	0.880033055	MMP9+
LPGAT1	2.225074E-308	2.225074E-308	0.869730624	MMP9+
IL18R1	2.225074E-308	2.225074E-308	0.867731054	MMP9+
HMGB2	2.225074E-308	2.225074E-308	0.864933747	MMP9+
REPS2	2.225074E-308	2.225074E-308	0.863252702	MMP9+
CFP	2.225074E-308	2.225074E-308	0.857426061	MMP9+
PRAM1	2.225074E-308	2.225074E-308	0.854152316	MMP9+
RAB3D	2.225074E-308	2.225074E-308	0.850563942	MMP9+
IL18RAP	2.225074E-308	2.225074E-308	0.848560714	MMP9+
C1orf162	2.225074E-308	2.225074E-308	0.84633554	MMP9+
ATP11B	2.225074E-308	2.225074E-308	0.842826011	MMP9+
ERICH1	2.225074E-308	2.225074E-308	0.840454141	MMP9+
REEP5	2.225074E-308	2.225074E-308	0.840123683	MMP9+
S1PR4	2.225074E-308	2.225074E-308	0.83450179	MMP9+
CUX1	2.225074E-308	2.225074E-308	0.834344823	MMP9+
LILRA5	2.225074E-308	2.225074E-308	0.83353541	MMP9+
NOL7	2.225074E-308	2.225074E-308	0.829510552	MMP9+
ENTPD1	2.225074E-308	2.225074E-308	0.825821155	MMP9+
GLIPR1	2.225074E-308	2.225074E-308	0.821832995	MMP9+
FOXP1	2.225074E-308	2.225074E-308	0.816669776	MMP9+
SYNE2	2.225074E-308	2.225074E-308	0.816581768	MMP9+
MOSPD2	2.225074E-308	2.225074E-308	0.816550224	MMP9+
TSPO	2.225074E-308	2.225074E-308	0.804972267	MMP9+
MME	2.225074E-308	2.225074E-308	0.801561002	MMP9+
PLXDC2	2.225074E-308	2.225074E-308	0.800102124	MMP9+
HACD4	2.225074E-308	2.225074E-308	0.792731697	MMP9+
RNF10	2.225074E-308	2.225074E-308	0.788826845	MMP9+
TGOLN2	2.225074E-308	2.225074E-308	0.785816305	MMP9+
KLF13	2.225074E-308	2.225074E-308	0.783887706	MMP9+
ACOX1	2.225074E-308	2.225074E-308	0.778187591	MMP9+
STX10	2.225074E-308	2.225074E-308	0.773340311	MMP9+
CAB39	2.225074E-308	2.225074E-308	0.77184999	MMP9+
DHRS7	2.225074E-308	2.225074E-308	0.767883278	MMP9+
USP10	2.225074E-308	2.225074E-308	0.766665246	MMP9+
DBNL	2.225074E-308	2.225074E-308	0.766465744	MMP9+
OSBPL9	2.225074E-308	2.225074E-308	0.763900872	MMP9+
MAPK3	2.225074E-308	2.225074E-308	0.763211193	MMP9+
YWHAB	2.225074E-308	2.225074E-308	0.760874688	MMP9+
ZNF467	2.225074E-308	2.225074E-308	0.760501524	MMP9+
MEGF9	2.225074E-308	2.225074E-308	0.75937628	MMP9+
UBN1	2.225074E-308	2.225074E-308	0.755734523	MMP9+
G6PD	2.225074E-308	2.225074E-308	0.753983701	MMP9+
NBEAL2	2.225074E-308	2.225074E-308	0.752011803	MMP9+
TM9SF2	2.225074E-308	2.225074E-308	0.749629739	MMP9+
ZBTB16	2.225074E-308	2.225074E-308	0.747652171	MMP9+
PCNX1	2.225074E-308	2.225074E-308	0.747165716	MMP9+
CSTA	2.225074E-308	2.225074E-308	0.744371803	MMP9+
MAPK1	2.225074E-308	2.225074E-308	0.73875513	MMP9+
ARPC1B	2.225074E-308	2.225074E-308	0.737914064	MMP9+
PROK2	2.225074E-308	2.225074E-308	0.734570197	MMP9+
ARHGAP30	2.225074E-308	2.225074E-308	0.733937696	MMP9+
AGTPBP1	2.225074E-308	2.225074E-308	0.73160432	MMP9+
NCOR1	2.225074E-308	2.225074E-308	0.729058848	MMP9+
ORAI2	2.225074E-308	2.225074E-308	0.725909375	MMP9+
CDA	2.225074E-308	2.225074E-308	0.725663002	MMP9+
AP1S2	2.225074E-308	2.225074E-308	0.724939761	MMP9+
VNN2	2.225074E-308	2.225074E-308	0.718008962	MMP9+
FAM120A	2.225074E-308	2.225074E-308	0.713792494	MMP9+
SNX3	2.225074E-308	2.225074E-308	0.709594865	MMP9+
KIAA1109	2.225074E-308	2.225074E-308	0.704637366	MMP9+
RAB18	2.225074E-308	2.225074E-308	0.704336187	MMP9+
RIOK3	2.225074E-308	2.225074E-308	0.701732776	MMP9+
GTF2I	2.225074E-308	2.225074E-308	0.70036128	MMP9+
NIN	2.225074E-308	2.225074E-308	0.695224543	MMP9+
FLOT2	2.225074E-308	2.225074E-308	0.694889083	MMP9+
CALM1	2.225074E-308	2.225074E-308	0.693199367	MMP9+
PPP1R12A	2.225074E-308	2.225074E-308	0.691784876	MMP9+
PJA2	2.225074E-308	2.225074E-308	0.685518823	MMP9+
STAG2	2.225074E-308	2.225074E-308	0.682079534	MMP9+
ZNF394	2.225074E-308	2.225074E-308	0.680410959	MMP9+
CHD7	2.225074E-308	2.225074E-308	0.679429317	MMP9+
CDV3	2.225074E-308	2.225074E-308	0.678200541	MMP9+
TKT	2.225074E-308	2.225074E-308	0.67636753	MMP9+
GAPT	2.225074E-308	2.225074E-308	0.675830284	MMP9+
PPP1CA	2.225074E-308	2.225074E-308	0.673753835	MMP9+
MARK3	2.225074E-308	2.225074E-308	0.673691431	MMP9+
OSBPL8	2.225074E-308	2.225074E-308	0.670540918	MMP9+
ACSL4	2.225074E-308	2.225074E-308	0.670071309	MMP9+
ANKRD13A	2.225074E-308	2.225074E-308	0.669585428	MMP9+
FRAT2	2.225074E-308	2.225074E-308	0.668780015	MMP9+
EIF2AK2	2.225074E-308	2.225074E-308	0.668298349	MMP9+
CACUL1	2.225074E-308	2.225074E-308	0.66532929	MMP9+
TBC1D1	2.225074E-308	2.225074E-308	0.664882114	MMP9+
ZMAT2	2.225074E-308	2.225074E-308	0.664653921	MMP9+
GLIPR2	2.225074E-308	2.225074E-308	0.663675147	MMP9+
CEACAM4	2.225074E-308	2.225074E-308	0.658112219	MMP9+
SH3KBP1	2.225074E-308	2.225074E-308	0.655671078	MMP9+
BNIP2	2.225074E-308	2.225074E-308	0.654452406	MMP9+
TRAPPC1	2.225074E-308	2.225074E-308	0.651132913	MMP9+
FAM126B	2.225074E-308	2.225074E-308	0.650590312	MMP9+
BIN2	2.225074E-308	2.225074E-308	0.64625158	MMP9+
VNN3	2.225074E-308	2.225074E-308	0.641438392	MMP9+
RGS19	2.225074E-308	2.225074E-308	0.641303884	MMP9+
AGO4	2.225074E-308	2.225074E-308	0.637226145	MMP9+
NUP214	2.225074E-308	2.225074E-308	0.630182206	MMP9+
CDKN2D	2.225074E-308	2.225074E-308	0.625074554	MMP9+
STK17A	2.225074E-308	2.225074E-308	0.62146689	MMP9+
CCNDBP1	2.225074E-308	2.225074E-308	0.621408267	MMP9+
OSTF1	2.225074E-308	2.225074E-308	0.62138599	MMP9+
ABTB1	2.225074E-308	2.225074E-308	0.620434488	MMP9+
PLXNC1	2.225074E-308	2.225074E-308	0.619219054	MMP9+
USP3	2.225074E-308	2.225074E-308	0.617032226	MMP9+
SKAP2	2.225074E-308	2.225074E-308	0.616664893	MMP9+
FKBP1A	2.225074E-308	2.225074E-308	0.615755827	MMP9+
CORO1A	2.225074E-308	2.225074E-308	0.602278837	MMP9+
ACTR2	2.225074E-308	2.225074E-308	0.601790715	MMP9+
RNF24	2.225074E-308	2.225074E-308	0.59644275	MMP9+
FBXL5	2.225074E-308	2.225074E-308	0.594051412	MMP9+
LRP10	2.225074E-308	2.225074E-308	0.589476672	MMP9+
RGS18	2.225074E-308	2.225074E-308	0.583642989	MMP9+
NCF4	2.225074E-308	2.225074E-308	0.582773882	MMP9+
OSBPL2	2.225074E-308	2.225074E-308	0.581989139	MMP9+
RAD21	2.225074E-308	2.225074E-308	0.58148525	MMP9+
SRSF9	2.225074E-308	2.225074E-308	0.578586151	MMP9+
H2AFY	2.225074E-308	2.225074E-308	0.574420382	MMP9+
XRCC5	2.225074E-308	2.225074E-308	0.573605072	MMP9+
LRRK2	2.225074E-308	2.225074E-308	0.571943286	MMP9+
RTN3	2.225074E-308	2.225074E-308	0.570261111	MMP9+
ASAP1	2.225074E-308	2.225074E-308	0.569023031	MMP9+
CAP1	2.225074E-308	2.225074E-308	0.566681347	MMP9+
ZNF281	2.225074E-308	2.225074E-308	0.566576742	MMP9+
TLE4	2.225074E-308	2.225074E-308	0.565570196	MMP9+
ATRX	2.225074E-308	2.225074E-308	0.564671195	MMP9+
TLN1	2.225074E-308	2.225074E-308	0.563557511	MMP9+
PNPLA2	2.225074E-308	2.225074E-308	0.563524394	MMP9+
LYZ	2.225074E-308	2.225074E-308	0.561162425	MMP9+
07-Sep	2.225074E-308	2.225074E-308	0.558975134	MMP9+
MMP25	2.225074E-308	2.225074E-308	0.554081493	MMP9+
OGA	2.225074E-308	2.225074E-308	0.55253416	MMP9+
RCSD1	2.225074E-308	2.225074E-308	0.551902534	MMP9+
SNAP23	2.225074E-308	2.225074E-308	0.549076002	MMP9+
CAPZA1	2.225074E-308	2.225074E-308	0.546495094	MMP9+
MSRB1	2.225074E-308	2.225074E-308	0.546006347	MMP9+
PPP3CA	2.225074E-308	2.225074E-308	0.54540759	MMP9+
ATP5MPL	2.225074E-308	2.225074E-308	0.543088796	MMP9+
TUBA4A	2.225074E-308	2.225074E-308	0.542148052	MMP9+
SEC62	2.225074E-308	2.225074E-308	0.540747847	MMP9+
ANPEP	2.225074E-308	2.225074E-308	0.538062737	MMP9+
ROCK1	2.225074E-308	2.225074E-308	0.537511075	MMP9+
LPCAT2	2.225074E-308	2.225074E-308	0.531970277	MMP9+
STEAP4	2.225074E-308	2.225074E-308	0.527207778	MMP9+
PAIP2	2.225074E-308	2.225074E-308	0.524402025	MMP9+
GRN	2.225074E-308	2.225074E-308	0.523986298	MMP9+
WDR26	2.225074E-308	2.225074E-308	0.511042499	MMP9+
MYH9	2.225074E-308	2.225074E-308	0.510393965	MMP9+
LIMD2	2.225074E-308	2.225074E-308	0.507893119	MMP9+
DYNLT1	2.225074E-308	2.225074E-308	0.507156621	MMP9+
VIM	2.225074E-308	2.225074E-308	0.502522439	MMP9+
AL034397-3	2.225074E-308	2.225074E-308	0.502503968	MMP9+
SNRK	2.225074E-308	2.225074E-308	0.500740357	MMP9+
ANXA11	2.225074E-308	2.225074E-308	0.498951328	MMP9+
ICAM3	2.225074E-308	2.225074E-308	0.497859008	MMP9+
JPT1	2.225074E-308	2.225074E-308	0.496580538	MMP9+
EIF4G2	2.225074E-308	2.225074E-308	0.493706897	MMP9+
FAM107B	2.225074E-308	2.225074E-308	0.493703495	MMP9+
PRKCB	2.225074E-308	2.225074E-308	0.476605739	MMP9+
APBB1IP	2.225074E-308	2.225074E-308	0.475794476	MMP9+
FKBP5	2.225074E-308	2.225074E-308	0.475184018	MMP9+
CREBBP	2.225074E-308	2.225074E-308	0.474919932	MMP9+
RALB	2.225074E-308	2.225074E-308	0.467779707	MMP9+
KCNJ15	2.225074E-308	2.225074E-308	0.467759084	MMP9+
MAP4K4	2.225074E-308	2.225074E-308	0.461139245	MMP9+
RASSF2	2.225074E-308	2.225074E-308	0.460499849	MMP9+
PTBP3	2.225074E-308	2.225074E-308	0.457632802	MMP9+
TLR4	2.225074E-308	2.225074E-308	0.457085905	MMP9+
TXN	2.225074E-308	2.225074E-308	0.455677045	MMP9+
GNAS	2.225074E-308	2.225074E-308	0.454985654	MMP9+
TGFB1	2.225074E-308	2.225074E-308	0.449444885	MMP9+
C16orf72	2.225074E-308	2.225074E-308	0.44685762	MMP9+
MORF4L1	2.225074E-308	2.225074E-308	0.441732113	MMP9+
RAB5IF	2.225074E-308	2.225074E-308	0.435548302	MMP9+
GNG2	2.225074E-308	2.225074E-308	0.433740455	MMP9+
MTPN	2.225074E-308	2.225074E-308	0.42880518	MMP9+
TOB1	2.225074E-308	2.225074E-308	0.427699691	MMP9+
SRP14	2.225074E-308	2.225074E-308	0.427645055	MMP9+
STK17B	2.225074E-308	2.225074E-308	0.425986634	MMP9+
RAB11FIP1	2.225074E-308	2.225074E-308	0.417906641	MMP9+
UQCRB	2.225074E-308	2.225074E-308	0.417194399	MMP9+
CD46	2.225074E-308	2.225074E-308	0.415264824	MMP9+
S100P	2.225074E-308	2.225074E-308	0.412181019	MMP9+
PPP4R2	2.225074E-308	2.225074E-308	0.411229397	MMP9+
PRKAR1A	2.225074E-308	2.225074E-308	0.407386578	MMP9+
NFIL3	2.225074E-308	2.225074E-308	0.406708239	MMP9+
ITGB2	2.225074E-308	2.225074E-308	0.4060419	MMP9+
ACAP2	2.225074E-308	2.225074E-308	0.404616666	MMP9+
IQSEC1	2.225074E-308	2.225074E-308	0.403926114	MMP9+
TUBA1A	2.225074E-308	2.225074E-308	0.393308225	MMP9+
FMNL1	2.225074E-308	2.225074E-308	0.388305083	MMP9+
VAPA	2.225074E-308	2.225074E-308	0.385981706	MMP9+
PYCARD	2.225074E-308	2.225074E-308	0.383376187	MMP9+
AKAP13	2.225074E-308	2.225074E-308	0.380273786	MMP9+
CNN2	2.225074E-308	2.225074E-308	0.362731213	MMP9+
FGL2	2.225074E-308	2.225074E-308	0.35543757	MMP9+
MSL1	2.225074E-308	2.225074E-308	0.354827094	MMP9+
GNB2	2.225074E-308	2.225074E-308	0.351009672	MMP9+
BOD1L1	2.225074E-308	2.225074E-308	0.350809353	MMP9+
IGF2R	2.225074E-308	2.225074E-308	0.347499436	MMP9+
JAML	2.225074E-308	2.225074E-308	0.346562962	MMP9+
